;TINFOLEAK Report;;;;;;;;;;;;;;;;
;Vicente Aguilera Díaz;;;;;;;;;;;;;;;;
;@VAguileraDiaz;;;;;;;;;;;;;;;;
;www.isecauditors.com;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;>>> Date:;09/07/2020;;;;;;;;;;;;;;;
;>>> Time:;0:58;;;;;;;;;;;;;;;
;>>> Analyzed user:;Estrada0222;;;;;;;;;;;;;;;
;>>> Information:;Followers;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;ID;USERNAME;SCREEN NAME;DESCRIPTION;PROFILE IMAGE URL;PROFILE BANNER URL;CREATED AT;LOCATION;TIME_ZONE;GEO ENABLED;FOLLOWERS COUNT;FRIENDS COUNT;STATUSES COUNT;LISTED COUNT;FAVOURITES COUNT;USER VERIFIED;USER LANG
15;9,05E+31;Pablo;PabloVi69899243;A joder y A tomar que el mundo se va a acabar;http://pbs.twimg.com/profile_images/1049690556664832000/SvuiGzbs_normal.jpg;;04/09/2017 20:05;;;False;217;3801;282;0;537;False;
16;399531287;MrNíkïtæ;joseluismolinas;Si no te abrazó, es porque no sería capaz de soltarte ❤12/9🔊AvrilLavigne🔊ColdPlay🔭PARAMORE🚗Thescript💤TheChainsmokers🎧CHVRCHES⚡️Marshmello 😌☄Your name☄;http://pbs.twimg.com/profile_images/1189214866927697924/wZpYNUCS_normal.jpg;http://abs.twimg.com/images/themes/theme9/bg.gif;27/10/2011 16:53;instagram--- joseluismolinasi;;False;172239;179374;1577;78;11403;False;
17;1,27E+32;Carlos Baldovino;CarlosBaldovin0;I'm only human after all.💀;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Radio host. 🎙;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
"#ChooseLife""";http://pbs.twimg.com/profile_images/1265341441859031041/SmrwdEn3_normal.jpg;;26/05/2020 14:01;;;False;36;106;214;0;132;False;;;;;
18;1,26E+30;Daniel;Daniel24465827;96' TCR757;;;;;;;;;;;;;
"https://t.co/3rVDya90fj""";http://pbs.twimg.com/profile_images/1256861635408539648/FwXusAEH_normal.jpg;;03/05/2020 7:57;;;False;22;54;617;0;108;False;;;;;
19;212806717;NCristhine♒;cristhine11;♥BE HAPPY/  C.I❤️;http://pbs.twimg.com/profile_images/1228035850082115590/bJZ-Ouwm_normal.jpg;http://abs.twimg.com/images/themes/theme10/bg.gif;07/11/2010 3:16;Panama City.;;True;100;84;3829;2;1801;False;
20;309085210;𝓓𝓪𝔂𝓪𝓷𝓷𝓪;DayannaRojas02;;http://pbs.twimg.com/profile_images/1278453600876929027/0hUif31E_normal.jpg;http://abs.twimg.com/images/themes/theme12/bg.gif;01/06/2011 14:15;Barranquilla, Colombia;;True;1436;234;56427;3;1416;False;
21;3239404497;Guevara uwu;sebastini98;Solo una persona de él común y ya;http://pbs.twimg.com/profile_images/1220317456809459712/g_nnNSXv_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;06/05/2015 20:54;Colombia;;False;15;538;1657;0;179;False;
22;1,08E+32;Josheeee;Josheeee9;;http://pbs.twimg.com/profile_images/1080833940221579266/jJJlNt7v_normal.jpg;;03/01/2019 14:27;;;False;112;1329;3;0;1247;False;
23;2977035070;PÉREZ.;elsuciodanx;S I N C E  1 8 7 6  👁️;http://pbs.twimg.com/profile_images/1223912529426026497/o7Eo9GZn_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;13/01/2015 19:49;;;False;1158;970;3000;0;2396;False;
