;TINFOLEAK Report;;;;;;;;;;;;;;;;
;Vicente Aguilera Díaz;;;;;;;;;;;;;;;;
;@VAguileraDiaz;;;;;;;;;;;;;;;;
;www.isecauditors.com;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;>>> Date:;08/07/2020;;;;;;;;;;;;;;;
;>>> Time:;17:01;;;;;;;;;;;;;;;
;>>> Analyzed user:;jsantiagowx;;;;;;;;;;;;;;;
;>>> Information:;Followers;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;ID;USERNAME;SCREEN NAME;DESCRIPTION;PROFILE IMAGE URL;PROFILE BANNER URL;CREATED AT;LOCATION;TIME_ZONE;GEO ENABLED;FOLLOWERS COUNT;FRIENDS COUNT;STATUSES COUNT;LISTED COUNT;FAVOURITES COUNT;USER VERIFIED;USER LANG
16;3401480861;Guillermo Pérez;GPerezPardo;Antropólogo y Defensor de la Paz con Justicia Social. Militante de la vida. Hago parte de @PrensaRural.;http://pbs.twimg.com/profile_images/1270826149808091136/gRKf22wT_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;03/08/2015 16:28;Colombia;;True;11959;7735;10331;26;4935;False;
17;1,25E+31;Alexroamigos✏✏;alexroamigos;📍Somos profes y compañeros del caricaturista colombiano Alexro. ;;;;;;;;;;;;;
"Apoyamos la Libertad de Expresión y difundimos su obra artística.✊✊""";http://pbs.twimg.com/profile_images/1246461147433308160/Od1nePC1_normal.jpg;;04/04/2020 15:28;Colombia;;False;675;942;199;0;1030;False;;;;;
18;167394234;Sebastián 𝚁𝚘𝚓𝚊𝚜 𝚁𝚒𝚌𝚊𝚞𝚛𝚝𝚎 🇨🇴 💛;QueDiceSebas;"Dir. @ElChapinPrensa. Vocero @NoTM7a y 🌳. Ing. @Uniandes. CTO https://t.co/0S8NVHCb7V. No me quedo en Twitter, salgo a la calle. ""Los disléxicos también somos persianas"".";http://pbs.twimg.com/profile_images/1278228443239497728/6EtICed4_normal.jpg;http://abs.twimg.com/images/themes/theme14/bg.gif;16/07/2010 13:41;Bogotá, Colombia;;True;6950;4180;39473;29;22948;False;
19;1,04E+32;🛂👮‍♂️;Loja2503;👌;http://pbs.twimg.com/profile_images/1279640739824238592/Xbet0eUc_normal.jpg;;21/09/2018 0:02;;;False;26;49;6;0;4157;False;
20;1,17E+32;Émerson Jiménez García;EmerJiGa_m;MAESTRO EN FORMACIÓN 👨🏻‍🏫📚💙    |     #Morat 💛   |   #AntiUribista 1️⃣0️⃣0️⃣%;http://pbs.twimg.com/profile_images/1280793032774823936/jPMZALAg_normal.jpg;;09/09/2019 20:55;Pensilvania, Colombia;;False;28;437;37;0;975;False;
21;1,25E+32;Hector florez;Hectorf31997161;El mejor..;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;24/04/2020 2:38;;;False;1165;3337;7799;0;7735;False;
22;1,26E+32;Paola Torres Franco;PaolaTorresfco;Coach, conferencista y entrenadora del equipo John Maxwell para Latinoamérica.;;;;;;;;;;;;;
Líder mundial en el networkmarketing.;;;;;;;;;;;;;;;;;
"Empresaria e inversionista.""";http://pbs.twimg.com/profile_images/1255964880466857984/6rovTuHZ_normal.jpg;;30/04/2020 20:58;;;False;216;1188;73;0;253;False;;;;;
