;TINFOLEAK Report;;;;;;;;;;;;;;;;
;Vicente Aguilera Díaz;;;;;;;;;;;;;;;;
;@VAguileraDiaz;;;;;;;;;;;;;;;;
;www.isecauditors.com;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;>>> Date:;08/07/2020;;;;;;;;;;;;;;;
;>>> Time:;18:25;;;;;;;;;;;;;;;
;>>> Analyzed user:;OscarHsb;;;;;;;;;;;;;;;
;>>> Information:;Followers;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;ID;USERNAME;SCREEN NAME;DESCRIPTION;PROFILE IMAGE URL;PROFILE BANNER URL;CREATED AT;LOCATION;TIME_ZONE;GEO ENABLED;FOLLOWERS COUNT;FRIENDS COUNT;STATUSES COUNT;LISTED COUNT;FAVOURITES COUNT;USER VERIFIED;USER LANG
17;9,58E+31;Abraham velasco;Abraham78186596;siempre por la derecha Dios y patria;http://pbs.twimg.com/profile_images/1250943896785428482/cmNXn-JI_normal.jpg;;29/01/2018 2:52;Montería, Colombia;;False;671;2025;3431;0;6774;False;
18;2688523673;Quintero;JuanE_Quintero;Unicornio. ;;;;;;;;;;;;;
Doy memes; no opiniones.                                      ;;;;;;;;;;;;;;;;
"https://t.co/6dKlFGLuXE""";http://pbs.twimg.com/profile_images/1246942280604364802/j9wySOWY_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;08/07/2014 21:12;;;False;1048;1102;248;0;445;False;;;;;
19;598502101;zabanero;Zabanero1;🤟;http://pbs.twimg.com/profile_images/1279894308196429826/QzcvuVEy_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;03/06/2012 17:20;Río negro ;;True;1317;299;30288;7;21847;False;
20;1,20E+32;oscar acevedo;oscarac23777477;Diseñador gráfico Política de derecha y seguidor de la teoría : QUE EL TRABAJO DURÓ RINDE FRUTOS y URIBISTA por supuesto 😁;http://pbs.twimg.com/profile_images/1198273149500055553/r5uUQcuU_normal.jpg;;23/11/2019 16:11;Bogotá, D.C., Colombia;;False;1988;1946;1184;0;2853;False;
21;194535388;Andrea.;andreagossain;Me gusta la Política!  de todos los males, nunca el de la izquierda!;http://pbs.twimg.com/profile_images/1101909088244518913/aQivhPga_normal.png;http://abs.twimg.com/images/themes/theme1/bg.png;24/09/2010 11:19;Colombia;;False;6017;6062;26876;3;17433;False;
22;61798345;Movistar Colombia;MovistarCo;Eso que haces con tu tiempo, queremos cuidarlo. 💙💚 ;;;;;;;;;;;;;
Es nuestro propósito;" #EsTuTiempo""";http://pbs.twimg.com/profile_images/1278416014930325505/n23OgsGo_normal.jpg;http://abs.twimg.com/images/themes/theme16/bg.gif;31/07/2009 15:40;Colombia;;True;336549;73882;338233;653;1829;True;;;;
23;153257006;German;Germansva;Cárcel para las Farc.  No a la impunidad.;http://pbs.twimg.com/profile_images/1134177022283079682/rpTIjN1d_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;08/06/2010 2:34;;;True;1250;2311;61298;2;25104;False;
