;TINFOLEAK Report;;;;;;;;;;;;;;;;
;Vicente Aguilera Díaz;;;;;;;;;;;;;;;;
;@VAguileraDiaz;;;;;;;;;;;;;;;;
;www.isecauditors.com;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;>>> Date:;09/07/2020;;;;;;;;;;;;;;;
;>>> Time:;1:39;;;;;;;;;;;;;;;
;>>> Analyzed user:;iLordPorky;;;;;;;;;;;;;;;
;>>> Information:;Followers;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;ID;USERNAME;SCREEN NAME;DESCRIPTION;PROFILE IMAGE URL;PROFILE BANNER URL;CREATED AT;LOCATION;TIME_ZONE;GEO ENABLED;FOLLOWERS COUNT;FRIENDS COUNT;STATUSES COUNT;LISTED COUNT;FAVOURITES COUNT;USER VERIFIED;USER LANG
"Anterior cuenta @mr_anonymous_tc""";http://pbs.twimg.com/profile_images/1278550792941768705/n8XXzQQs_normal.jpg;;13/02/2020 1:57;Fountainebleau, FL;;False;2041;1891;3090;0;3839;False;;;;;
15;1,28E+32;Colombianisima!;2Colombianisima;Demócrata ;;;;;;;;;;;;;
Izquierdista hazte a la derecha;;;;;;;;;;;;;;;;;
No habías nacido cuando Uribe nos liberó;;;;;;;;;;;;;;;;;
Soy azafata;hoy aquí;mañana en cualquier lugar✈;;;;;;;;;;;;;;;
Como el Ave Fénix;"renaciendo""";http://pbs.twimg.com/profile_images/1276859316994269185/-qFjC-Tf_normal.jpg;;27/06/2020 10:04;;;False;2033;1836;925;0;745;False;;;;
16;1,26E+31;hamdoulie;hamdoulie;Living with my siblings ❤️❤️;http://pbs.twimg.com/profile_images/1256933873151328257/_TY--6aM_normal.jpg;;03/05/2020 13:00;Serrkunda;;False;289;1824;13;0;7;False;
17;7,12E+31;Carlos Andrés Ospina;caanosto;Abogado, Bogotano viviendo en Puerto Colombia, amante de la cerveza y la carne...;http://pbs.twimg.com/profile_images/1121146343962099713/To8llz71_normal.jpg;;21/03/2016 3:30;Bogotá, D.C., Colombia;;False;1133;1551;15280;0;18132;False;
18;1,20E+32;la suprema mazamorra con bocadillo;ChenchisTu;venera a la mazamorra;http://pbs.twimg.com/profile_images/1223745898062274560/M6KplqDh_normal.jpg;;04/12/2019 22:23;;;False;4;66;0;0;10;False;
19;76685861;Michelada🐳;velandiacarmela;আবার এবং আবার ব্যর্থ;http://pbs.twimg.com/profile_images/1279643546736263169/YFlo3xOA_normal.jpg;http://abs.twimg.com/images/themes/theme10/bg.gif;23/09/2009 16:29;Bogota;;True;876;2046;7161;0;30040;False;
