;TINFOLEAK Report;;;;;;;;;;;;;;;;
;Vicente Aguilera Díaz;;;;;;;;;;;;;;;;
;@VAguileraDiaz;;;;;;;;;;;;;;;;
;www.isecauditors.com;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;>>> Date:;09/07/2020;;;;;;;;;;;;;;;
;>>> Time:;2:52;;;;;;;;;;;;;;;
;>>> Analyzed user:;Oscar_GCh;;;;;;;;;;;;;;;
;>>> Information:;Followers;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;ID;USERNAME;SCREEN NAME;DESCRIPTION;PROFILE IMAGE URL;PROFILE BANNER URL;CREATED AT;LOCATION;TIME_ZONE;GEO ENABLED;FOLLOWERS COUNT;FRIENDS COUNT;STATUSES COUNT;LISTED COUNT;FAVOURITES COUNT;USER VERIFIED;USER LANG
17;9,53E+31;Mauro;Mauro69maximo;;http://pbs.twimg.com/profile_images/1280376984292425733/wttGKc13_normal.jpg;;14/01/2018 22:06;;;False;1;91;89;0;13;False;
18;1,11E+31;Helena Nupieri;HelenaNupieri;#Antiuribista. Periodista, ex dirigente sindical e investigador criminal. Con ganas y voluntad para cambiar nuestro país y a los corruptos que lo gobiernan.;http://pbs.twimg.com/profile_images/1279861428162383872/o2U2S9ov_normal.jpg;;02/04/2019 8:56;;;False;2581;1294;4865;3;3135;False;
19;2295504656;Edwin zagi;edwinzagi;todavia soñando con un mundo mejor...;http://pbs.twimg.com/profile_images/1279419234100142080/_QPmpM9X_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;17/01/2014 5:08;;;False;1163;1731;803;0;3304;False;
20;1,27E+32;Homólogo;Homlogo1;gato mamerto;;;;;;;;;;;;;
"Antiuribista.""";http://pbs.twimg.com/profile_images/1273492087527354368/Vz_ag7Kd_normal.jpg;;18/06/2020 5:43;;;False;1868;2189;4;0;36;False;;;;;
21;1,22E+32;Nathaly Aseneth Paipa;paipa_r;Ingeniera Forestal 🌳;http://pbs.twimg.com/profile_images/1218095879590154241/_xtXvkoD_normal.jpg;;17/01/2020 8:59;Villavicencio, Colombia;;False;334;691;94;0;113;False;
22;1,15E+31;Apístefto;Apstefto1;Docente y humanista. Antiuribista 100%;http://pbs.twimg.com/profile_images/1231417917398540288/KJzplJEF_normal.jpg;;01/07/2019 17:36;;;False;315;542;21757;0;22547;False;
23;1,23E+31;Luis Montaña;luismontana01;;http://pbs.twimg.com/profile_images/1249356870797733888/pB2CioGN_normal.jpg;;07/02/2020 22:51;;;False;96;609;1913;0;3675;False;
24;1,21E+32;Jacobito;JacobitoPoveda;Estudiar, Estudiar y Estudiar.;http://pbs.twimg.com/profile_images/1222297066002636805/3v_9tA4o_normal.jpg;;31/12/2019 22:23;;;False;513;1295;689;0;6463;False;
25;2430369898;Daniel Villarreal;DanielV72536929;;http://pbs.twimg.com/profile_images/1100069480942706688/5Qnr8B_b_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;23/03/2014 6:16;Bogotá, D.C., Colombia;;True;216;577;380;0;524;False;
